deal_id,company_name,deal_name,stage,deal_size,days_in_stage,response_latency_hrs,sentiment_trend,stakeholder_count,competitor_mentions,scope_change_flags,outcome
DEAL-0587,Zenith Enterprise,Zenith Enterprise - Digital Transformation Deal,Discovery,1173000.0,142,10.2,stable,12,2,3,in_progress
DEAL-0588,Frontier AI,Frontier AI - Digital Transformation Deal,Discovery,1347000.0,119,6.9,stable,4,5,1,in_progress
DEAL-0589,CloudScale,CloudScale - Digital Transformation Deal,Closing,685000.0,24,38.0,stable,6,5,4,in_progress
DEAL-0590,Forward Media,Forward Media - Digital Transformation Deal,Qualification,583000.0,88,40.9,declining,3,6,1,in_progress
DEAL-0591,Evolve Logic,Evolve Logic - Digital Transformation Deal,Discovery,1074000.0,81,22.6,stable,7,2,1,in_progress
DEAL-0592,Delta Analytics,Delta Analytics - Enterprise Platform Renewal & Expansion,Closing,25000.0,6,33.3,stable,5,4,0,in_progress
DEAL-0593,Velocity Networks,Velocity Networks - Digital Transformation Deal,Discovery,892000.0,119,29.8,improving,8,4,4,in_progress
DEAL-0594,IronClad Security,IronClad Security - Enterprise Platform Renewal & Expansion,Qualification,432000.0,145,59.1,improving,11,0,1,in_progress
DEAL-0595,BlueWave Tech,BlueWave Tech - Enterprise Platform Renewal & Expansion,Discovery,74000.0,173,41.8,declining,1,2,2,in_progress
DEAL-0596,BlueWave Tech,BlueWave Tech - Digital Transformation Deal,Closing,1491000.0,175,20.8,declining,3,5,4,in_progress
DEAL-0597,Frontier AI,Frontier AI - Enterprise Platform Renewal & Expansion,Negotiation,1129000.0,12,7.2,stable,6,2,2,in_progress
DEAL-0598,Beacon Dynamics,Beacon Dynamics - Enterprise Platform Renewal & Expansion,Proposal,1268000.0,77,34.2,improving,2,5,2,in_progress
DEAL-0599,ZeroDay Defense,ZeroDay Defense - Digital Transformation Deal,Discovery,331000.0,159,4.7,declining,4,5,4,in_progress
DEAL-0600,Vertex Systems,Vertex Systems - Enterprise Platform Renewal & Expansion,Closing,915000.0,76,31.0,stable,12,2,4,in_progress
DEAL-0601,Pinnacle Networks,Pinnacle Networks - Enterprise Platform Renewal & Expansion,Closing,929000.0,136,52.6,stable,8,3,1,in_progress
DEAL-0602,InfiniTech,InfiniTech - Enterprise Platform Renewal & Expansion,Qualification,1469000.0,33,2.2,declining,1,6,0,in_progress
DEAL-0603,Sentinels Security,Sentinels Security - Digital Transformation Deal,Proposal,514000.0,166,15.7,declining,9,1,2,in_progress
DEAL-0604,Beacon Dynamics,Beacon Dynamics - Digital Transformation Deal,Closing,770000.0,4,8.6,stable,6,2,3,in_progress
DEAL-0605,Apex Global,Apex Global - Enterprise Platform Renewal & Expansion,Qualification,307000.0,175,34.8,stable,6,6,0,in_progress
DEAL-0606,Vertex Systems,Vertex Systems - Digital Transformation Deal,Closing,702000.0,88,33.6,stable,9,5,0,in_progress
DEAL-0607,Nexus Enterprise,Nexus Enterprise - Enterprise Platform Renewal & Expansion,Proposal,1024000.0,140,1.8,declining,9,5,2,in_progress
DEAL-0608,Beacon Dynamics,Beacon Dynamics - Enterprise Platform Renewal & Expansion,Closing,435000.0,89,70.8,declining,1,4,1,in_progress
DEAL-0609,Radiant Systems,Radiant Systems - Digital Transformation Deal,Negotiation,193000.0,83,51.3,stable,5,3,0,in_progress
DEAL-0610,IronClad Security,IronClad Security - Digital Transformation Deal,Discovery,1248000.0,58,38.0,improving,5,0,2,in_progress
DEAL-0611,Genesis Cloud,Genesis Cloud - Enterprise Platform Renewal & Expansion,Negotiation,677000.0,126,65.2,improving,1,1,2,in_progress
DEAL-0612,ZeroDay Defense,ZeroDay Defense - Digital Transformation Deal,Negotiation,504000.0,135,48.9,improving,2,1,0,in_progress
DEAL-0613,Radiant Systems,Radiant Systems - Enterprise Platform Renewal & Expansion,Discovery,793000.0,82,67.2,declining,1,6,4,in_progress
DEAL-0614,Optima Solutions,Optima Solutions - Digital Transformation Deal,Qualification,88000.0,171,53.8,improving,9,4,2,in_progress
DEAL-0615,OmniSoft,OmniSoft - Digital Transformation Deal,Qualification,444000.0,84,55.8,declining,9,0,2,in_progress
DEAL-0616,Forward Media,Forward Media - Digital Transformation Deal,Closing,43000.0,146,37.3,improving,10,4,2,in_progress
DEAL-0617,OmniSoft,OmniSoft - Digital Transformation Deal,Proposal,1416000.0,149,18.0,improving,5,2,4,in_progress
DEAL-0618,Aura Insights,Aura Insights - Digital Transformation Deal,Negotiation,213000.0,175,4.1,stable,8,0,0,in_progress
DEAL-0619,ScaleGrid,ScaleGrid - Digital Transformation Deal,Proposal,902000.0,164,60.3,declining,10,3,4,in_progress
DEAL-0620,Nexus Enterprise,Nexus Enterprise - Digital Transformation Deal,Discovery,313000.0,139,6.1,stable,11,4,1,in_progress
DEAL-0621,Vanguard Cloud,Vanguard Cloud - Digital Transformation Deal,Proposal,479000.0,122,34.1,improving,11,1,4,in_progress
DEAL-0622,Quantum Dynamics,Quantum Dynamics - Digital Transformation Deal,Discovery,1055000.0,87,56.9,stable,11,3,3,in_progress
DEAL-0623,Beacon Dynamics,Beacon Dynamics - Digital Transformation Deal,Qualification,540000.0,46,20.7,stable,8,4,4,in_progress
DEAL-0624,Zenith Enterprise,Zenith Enterprise - Digital Transformation Deal,Closing,1230000.0,86,40.3,improving,2,6,2,in_progress
DEAL-0625,Vanguard Cloud,Vanguard Cloud - Digital Transformation Deal,Proposal,632000.0,65,39.7,stable,10,3,0,in_progress
DEAL-0626,Hyperion Systems,Hyperion Systems - Enterprise Platform Renewal & Expansion,Qualification,895000.0,148,56.8,declining,7,5,1,in_progress
DEAL-0627,Beacon Dynamics,Beacon Dynamics - Enterprise Platform Renewal & Expansion,Discovery,1074000.0,32,42.8,stable,8,2,4,in_progress
DEAL-0628,Titan Technologies,Titan Technologies - Digital Transformation Deal,Proposal,1435000.0,156,8.3,declining,2,6,3,in_progress
DEAL-0629,Velocity Networks,Velocity Networks - Enterprise Platform Renewal & Expansion,Qualification,111000.0,38,63.9,declining,4,6,0,in_progress
DEAL-0630,Evolve Logic,Evolve Logic - Digital Transformation Deal,Proposal,451000.0,150,32.5,improving,10,5,2,in_progress
DEAL-0631,Nexus Enterprise,Nexus Enterprise - Enterprise Platform Renewal & Expansion,Closing,1406000.0,91,71.3,declining,12,0,4,in_progress
DEAL-0632,ScaleGrid,ScaleGrid - Enterprise Platform Renewal & Expansion,Proposal,1282000.0,97,64.9,improving,1,0,4,in_progress
DEAL-0633,DataCore Inc,DataCore Inc - Enterprise Platform Renewal & Expansion,Negotiation,1301000.0,113,50.7,stable,4,5,2,in_progress
DEAL-0634,ScaleGrid,ScaleGrid - Digital Transformation Deal,Proposal,827000.0,47,34.5,improving,11,4,3,in_progress
DEAL-0635,Sentinels Security,Sentinels Security - Digital Transformation Deal,Qualification,1496000.0,35,10.1,improving,11,5,0,in_progress
DEAL-0636,Velocity Networks,Velocity Networks - Enterprise Platform Renewal & Expansion,Closing,1463000.0,24,10.3,stable,3,6,3,in_progress
DEAL-0637,Stratum Software,Stratum Software - Enterprise Platform Renewal & Expansion,Qualification,693000.0,144,59.1,stable,7,2,1,in_progress
DEAL-0638,Stratum Software,Stratum Software - Enterprise Platform Renewal & Expansion,Closing,875000.0,63,51.4,stable,12,3,4,in_progress
DEAL-0639,Quantum Dynamics,Quantum Dynamics - Digital Transformation Deal,Qualification,76000.0,97,8.6,stable,8,5,0,in_progress
DEAL-0640,ZeroDay Defense,ZeroDay Defense - Enterprise Platform Renewal & Expansion,Qualification,1476000.0,122,37.5,declining,5,4,0,in_progress
DEAL-0641,Vertex Systems,Vertex Systems - Enterprise Platform Renewal & Expansion,Proposal,1002000.0,22,49.4,declining,11,6,4,in_progress
DEAL-0642,BlueWave Tech,BlueWave Tech - Enterprise Platform Renewal & Expansion,Negotiation,812000.0,123,33.0,stable,1,4,2,in_progress
DEAL-0643,Pinnacle Networks,Pinnacle Networks - Enterprise Platform Renewal & Expansion,Closing,1201000.0,45,3.0,declining,5,5,2,in_progress
DEAL-0644,Krypton Labs,Krypton Labs - Digital Transformation Deal,Discovery,720000.0,149,4.2,stable,3,6,4,in_progress
DEAL-0645,Matrix Networks,Matrix Networks - Digital Transformation Deal,Proposal,208000.0,74,18.5,declining,2,2,2,in_progress
DEAL-0646,Acme Corp,Acme Corp - Enterprise Platform Renewal & Expansion,Proposal,914000.0,41,47.6,stable,10,6,1,in_progress
DEAL-0647,IronClad Security,IronClad Security - Digital Transformation Deal,Negotiation,1203000.0,90,70.9,improving,1,4,1,in_progress
DEAL-0648,Sentinels Security,Sentinels Security - Enterprise Platform Renewal & Expansion,Discovery,372000.0,166,12.5,declining,8,5,2,in_progress
DEAL-0649,Krypton Labs,Krypton Labs - Enterprise Platform Renewal & Expansion,Qualification,192000.0,121,29.0,stable,3,3,4,in_progress
DEAL-0650,Radiant Systems,Radiant Systems - Enterprise Platform Renewal & Expansion,Negotiation,597000.0,40,38.4,stable,5,0,2,in_progress
